product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD16A2,PET_500m,A2021001,2021-01-01,13.7,17.7,1282.7998,4.0,15.6439,1.2661,1.1252,289,82,28.37,2021067200321,F
MOD16A2,PET_500m,A2021009,2021-01-09,13.9,17.4,1475.4001,3.5,15.3688,1.0401,1.0198,289,96,33.22,2021068000410,F
MOD16A2,PET_500m,A2021017,2021-01-17,17.5,21.9,2779.8992,4.4,20.2912,0.8969,0.947,289,137,47.4,2021068065357,F
MOD16A2,PET_500m,A2021025,2021-01-25,19.8,24.7,2655.6006,4.9,22.5051,1.134,1.0649,289,118,40.83,2021068154607,F
MOD16A2,PET_500m,A2021033,2021-02-02,18.6,23.2,4034.3005,4.6,21.012,1.1955,1.0934,289,192,66.44,2021068212944,F
MOD16A2,PET_500m,A2021041,2021-02-10,22.5,27.7,3448.2004,5.2,25.3544,1.952,1.3972,289,136,47.06,2021069023427,F
MOD16A2,PET_500m,A2021049,2021-02-18,19.7,22.9,3568.9993,3.2,21.3713,0.5846,0.7646,289,167,57.79,2021069065413,22.7
MOD16A2,PET_500m,A2021057,2021-02-26,16.2,19.4,4562.6992,3.2,18.0344,0.291,0.5394,289,253,87.54,2021075104121,19
MOD16A2,PET_500m,A2021065,2021-03-06,25.6,28.2,5543.999,2.6,26.6538,0.353,0.5941,289,208,71.97,2021082075737,27.1
MOD16A2,PET_500m,A2021073,2021-03-14,29.6,33.1,7706.8994,3.5,31.3289,0.5455,0.7386,289,246,85.12,2021089060837,31.6
MOD16A2,PET_500m,A2021081,2021-03-22,32.2,35.0,8636.0,2.8,33.8667,0.2759,0.5252,289,255,88.24,2021097023254,F
MOD16A2,PET_500m,A2021089,2021-03-30,36.6,39.2,10104.4971,2.6,37.8446,0.2955,0.5436,289,267,92.39,2021105032437,38.4
MOD16A2,PET_500m,A2021097,2021-04-07,31.7,34.2,8688.7979,2.5,32.6647,0.203,0.4505,289,266,92.04,2021113020250,33.1
MOD16A2,PET_500m,A2021105,2021-04-15,32.2,35.6,8688.7021,3.4,33.4181,0.3411,0.584,289,260,89.97,2021121195123,33.8
MOD16A2,PET_500m,A2021113,2021-04-23,34.3,37.5,9355.5977,3.2,35.7084,0.28,0.5292,289,262,90.66,2021130210524,36.2
MOD16A2,PET_500m,A2021121,2021-05-01,47.8,52.3,13118.8955,4.5,49.5053,0.4195,0.6477,289,265,91.7,2021137021305,50.1
MOD16A2,PET_500m,A2021129,2021-05-09,57.1,63.7,15337.6992,6.6,58.9911,1.8525,1.3611,289,260,89.97,2021146020734,58
MOD16A2,PET_500m,A2021137,2021-05-17,50.8,55.1,11789.7959,4.3,52.869,0.8065,0.8981,289,223,77.16,2021153014250,52.7
MOD16A2,PET_500m,A2021145,2021-05-25,52.1,56.5,3733.5005,4.4,54.9044,1.2281,1.1082,289,68,23.53,2021161205609,F
MOD16A2,PET_500m,A2021153,2021-06-02,50.8,54.4,13115.9004,3.6,53.1008,0.4938,0.7027,289,247,85.47,2021169014947,53.2
MOD16A2,PET_500m,A2021161,2021-06-10,59.0,64.5,16383.3965,5.5,61.361,1.1884,1.0901,289,267,92.39,2021177044634,61.9
MOD16A2,PET_500m,A2021169,2021-06-18,56.2,66.6,16148.8037,10.4,60.4824,3.7133,1.927,289,267,92.39,2021188040606,61.1
MOD16A2,PET_500m,A2021177,2021-06-26,60.2,70.3,16902.4023,10.1,63.3049,3.1946,1.7873,289,267,92.39,2021193035648,63.2
MOD16A2,PET_500m,A2021185,2021-07-04,56.6,70.4,15830.4033,13.8,59.5128,4.517,2.1253,289,266,92.04,2021201045108,58.5
MOD16A2,PET_500m,A2021193,2021-07-12,54.3,68.9,13654.0,14.6,56.6556,5.6928,2.386,289,241,83.39,2021209062131,55.3
MOD16A2,PET_500m,A2021201,2021-07-20,49.5,61.5,12683.8018,12.0,51.9828,4.6477,2.1558,289,244,84.43,2021217141154,51.1
MOD16A2,PET_500m,A2021209,2021-07-28,50.1,62.2,12971.2021,12.1,52.9437,4.894,2.2122,289,245,84.78,2021225024348,51.4
MOD16A2,PET_500m,A2021217,2021-08-05,47.2,57.7,6707.5015,10.5,49.6852,2.7944,1.6717,289,135,46.71,2021233031116,48.5
MOD16A2,PET_500m,A2021225,2021-08-13,47.9,61.1,13211.7061,13.2,50.6196,4.8426,2.2006,289,261,90.31,2021243170243,49.7
MOD16A2,PET_500m,A2021233,2021-08-21,40.5,52.7,11528.7031,12.2,43.341,5.0785,2.2536,289,266,92.04,2021251155947,42.5
MOD16A2,PET_500m,A2021241,2021-08-29,38.3,57.8,10808.498,19.5,41.7317,5.1089,2.2603,289,259,89.62,2021257021105,40.5
MOD16A2,PET_500m,A2021249,2021-09-06,35.3,44.8,9786.5986,9.5,37.0704,2.3254,1.5249,289,264,91.35,2021265004051,36.8
MOD16A2,PET_500m,A2021257,2021-09-14,31.8,43.0,9069.7979,11.2,34.097,3.517,1.8754,289,266,92.04,2021315005151,33.6
MOD16A2,PET_500m,A2021265,2021-09-22,29.8,37.2,8283.4043,7.4,31.4958,1.4708,1.2128,289,263,91.0,2021316154305,31.5
MOD16A2,PET_500m,A2021273,2021-09-30,29.1,37.8,8316.999,8.7,31.5038,2.285,1.5116,289,264,91.35,2021316194547,31.5
MOD16A2,PET_500m,A2021281,2021-10-08,24.6,31.6,6425.0,7.0,27.4573,0.8827,0.9395,289,234,80.97,2021316223705,28
MOD16A2,PET_500m,A2021289,2021-10-16,22.7,28.2,3838.1992,5.5,25.0863,0.8778,0.9369,289,153,52.94,2021317025850,25.9
MOD16A2,PET_500m,A2021297,2021-10-24,22.0,27.7,4756.0005,5.7,24.6425,1.4737,1.214,289,193,66.78,2021317070312,F
MOD16A2,PET_500m,A2021305,2021-11-01,22.6,28.8,3599.9995,6.2,25.0,3.46,1.8601,289,144,49.83,2021321022938,F
MOD16A2,PET_500m,A2021313,2021-11-09,18.4,24.7,3611.2996,6.3,21.7548,3.8507,1.9623,289,166,57.44,2021331081524,21.7
MOD16A2,PET_500m,A2021321,2021-11-17,12.2,15.8,1233.4003,3.6,13.4065,1.1904,1.0911,289,92,31.83,2021340190723,F
MOD16A2,PET_500m,A2021329,2021-11-25,17.1,21.7,1486.2003,4.6,19.816,1.5107,1.2291,289,75,25.95,2021345002047,F
MOD16A2,PET_500m,A2021337,2021-12-03,17.9,21.8,2370.2993,3.9,20.0873,0.8135,0.9019,289,118,40.83,2021355011241,F
MOD16A2,PET_500m,A2021345,2021-12-11,13.6,16.5,2032.9999,2.9,15.1716,0.3461,0.5883,289,134,46.37,2021364004533,F
MOD16A2,PET_500m,A2021353,2021-12-19,12.3,15.8,1199.7999,3.5,14.4554,0.387,0.6221,289,83,28.72,2022004004759,F
MOD16A2,PET_500m,A2021361,2021-12-27,14.0,16.4,1881.7999,2.4,15.6817,0.3112,0.5578,289,120,41.52,2022008233743,F
MOD16A2,PET_500m,A2022001,2022-01-01,21.9,25.7,994.2999,3.8,23.6738,1.2276,1.108,289,42,14.53,2022026125336,F
MOD16A2,PET_500m,A2022009,2022-01-09,17.4,21.1,417.5,3.7,18.9773,1.7218,1.3122,289,22,7.61,2022027185005,F
MOD16A2,PET_500m,A2022017,2022-01-17,17.0,19.9,967.0001,2.9,18.5962,0.7823,0.8845,289,52,17.99,2022034113518,F
MOD16A2,PET_500m,A2022025,2022-01-25,25.6,29.5,4244.7002,3.9,27.563,1.0503,1.0248,289,154,53.29,2022041011031,29.3
MOD16A2,PET_500m,A2022033,2022-02-02,21.2,24.7,2469.9001,3.5,23.5229,0.56,0.7484,289,105,36.33,2022050003707,F
MOD16A2,PET_500m,A2022041,2022-02-10,23.4,27.9,2879.9998,4.5,25.4867,0.9535,0.9765,289,113,39.1,2022057001321,F
MOD16A2,PET_500m,A2022049,2022-02-18,25.7,28.5,3673.0989,2.8,26.8109,0.54,0.7348,289,137,47.4,2022064235824,F
MOD16A2,PET_500m,A2022057,2022-02-26,23.7,27.5,4578.6011,3.8,25.5788,0.6713,0.8193,289,179,61.94,2022094162737,25.6
MOD16A2,PET_500m,A2022065,2022-03-06,22.1,24.7,4291.0996,2.6,24.1073,0.1591,0.3989,289,178,61.59,2022094181413,24.2
MOD16A2,PET_500m,A2022073,2022-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0,0.0,2022101194542,F
MOD16A2,PET_500m,A2022081,2022-03-22,13.9,16.5,1439.8002,2.6,15.1558,0.2631,0.5129,289,95,32.87,2022097034712,F
MOD16A2,PET_500m,A2022089,2022-03-30,27.3,30.7,7660.8027,3.4,28.6921,0.3063,0.5535,289,267,92.39,2022120173558,28.4
MOD16A2,PET_500m,A2022097,2022-04-07,32.7,36.0,8359.5996,3.3,33.5727,0.2073,0.4553,289,249,86.16,2022120221856,33.1
MOD16A2,PET_500m,A2022105,2022-04-15,37.8,40.7,10099.499,2.9,38.9942,0.1534,0.3916,289,259,89.62,2022125110206,38.6
MOD16A2,PET_500m,A2022113,2022-04-23,40.0,42.8,10889.4023,2.8,41.0921,0.1379,0.3713,289,265,91.7,2022144021103,41
MOD16A2,PET_500m,A2022121,2022-05-01,41.0,44.2,11139.4072,3.2,42.0355,0.1449,0.3807,289,265,91.7,2022144035012,41.9
MOD16A2,PET_500m,A2022129,2022-05-09,53.0,57.2,13131.498,4.2,54.7146,0.6076,0.7795,289,240,83.04,2022145012308,54.7
MOD16A2,PET_500m,A2022137,2022-05-17,58.4,62.6,16066.0029,4.2,60.1723,0.4031,0.6349,289,267,92.39,2022153021246,60.1
MOD16A2,PET_500m,A2022145,2022-05-25,62.1,66.1,16756.9883,4.0,63.7148,0.5038,0.7098,289,263,91.0,2022161021150,63.7
MOD16A2,PET_500m,A2022153,2022-06-02,61.4,67.2,12769.2988,5.8,64.4914,1.3224,1.15,289,198,68.51,2022169022726,65
MOD16A2,PET_500m,A2022161,2022-06-10,68.7,75.5,18512.793,6.8,72.5992,2.5804,1.6064,289,255,88.24,2022177003107,74.1
MOD16A2,PET_500m,A2022169,2022-06-18,64.7,73.5,18745.0078,8.8,70.206,1.9886,1.4102,289,267,92.39,2022185005530,71.5
MOD16A2,PET_500m,A2022177,2022-06-26,58.9,66.9,16255.7021,8.0,61.8088,2.2117,1.4872,289,263,91.0,2022194170047,61.8
MOD16A2,PET_500m,A2022185,2022-07-04,58.6,67.1,16428.7988,8.5,61.5311,2.1256,1.4579,289,267,92.39,2022201013753,61.7
MOD16A2,PET_500m,A2022193,2022-07-12,62.4,78.8,17896.998,16.4,67.2819,7.7083,2.7764,289,266,92.04,2022209030411,68
MOD16A2,PET_500m,A2022201,2022-07-20,56.9,67.2,15281.0,10.3,60.1614,5.0344,2.2438,289,254,87.89,2022217011240,59.3
MOD16A2,PET_500m,A2022209,2022-07-28,52.8,64.9,9226.0996,12.1,56.6018,8.6082,2.934,289,163,56.4,2022228182304,54.8
MOD16A2,PET_500m,A2022217,2022-08-05,53.1,68.2,12410.2002,15.1,55.9018,7.7025,2.7753,289,222,76.82,2022234184422,54.6
MOD16A2,PET_500m,A2022225,2022-08-13,46.6,68.3,6808.7998,21.7,50.8119,18.0645,4.2502,289,134,46.37,2022241015746,F
MOD16A2,PET_500m,A2022233,2022-08-21,43.9,57.8,9455.8994,13.9,47.2795,6.9402,2.6344,289,200,69.2,2022249005139,45.8
MOD16A2,PET_500m,A2022241,2022-08-29,41.4,57.1,11666.7959,15.7,44.3604,6.1613,2.4822,289,263,91.0,2022258114420,43.1
MOD16A2,PET_500m,A2022249,2022-09-06,38.4,51.7,11174.1035,13.3,42.0079,5.885,2.4259,289,266,92.04,2022265022656,40.9
MOD16A2,PET_500m,A2022257,2022-09-14,30.5,44.9,8701.7998,14.4,32.7135,4.6946,2.1667,289,266,92.04,2022273010848,32.4
MOD16A2,PET_500m,A2022265,2022-09-22,28.7,41.4,8304.8008,12.7,31.3389,5.2091,2.2823,289,265,91.7,2022281012325,31.2
MOD16A2,PET_500m,A2022273,2022-09-30,24.4,34.7,6076.1025,10.3,27.0049,2.6329,1.6226,289,225,77.85,2022297140231,26.1
MOD16A2,PET_500m,A2022281,2022-10-08,24.4,33.9,6982.3013,9.5,27.3816,1.9755,1.4055,289,255,88.24,2022300222454,26.1
MOD16A2,PET_500m,A2022289,2022-10-16,18.9,26.6,5554.4004,7.7,21.6125,1.5295,1.2367,289,257,88.93,2022305192745,20.3
MOD16A2,PET_500m,A2022297,2022-10-24,17.3,24.7,5755.9014,7.4,22.0533,1.2951,1.138,289,261,90.31,2022313050021,22.7
MOD16A2,PET_500m,A2022305,2022-11-01,17.6,29.2,3720.4998,11.6,25.6586,2.3638,1.5375,289,145,50.17,2022325150848,25.6
MOD16A2,PET_500m,A2022313,2022-11-09,15.4,20.7,4248.8989,5.3,17.8525,1.0489,1.0241,289,238,82.35,2022329082140,17.6
MOD16A2,PET_500m,A2022321,2022-11-17,19.6,24.5,2851.1006,4.9,22.4496,1.7834,1.3355,289,127,43.94,2022350150045,F
MOD16A2,PET_500m,A2022329,2022-11-25,19.3,24.2,4396.5005,4.9,21.9825,2.2448,1.4983,289,200,69.2,2022351180805,F
MOD16A2,PET_500m,A2022337,2022-12-03,12.9,16.0,1671.2993,3.1,14.6605,0.5336,0.7305,289,114,39.45,2022360163514,F
MOD16A2,PET_500m,A2022345,2022-12-11,13.7,16.2,412.9,2.5,15.2926,0.7192,0.8481,289,27,9.34,2022362191337,F
MOD16A2,PET_500m,A2022353,2022-12-19,18.1,22.0,1531.8002,3.9,20.424,0.4629,0.6804,289,75,25.95,2023006045547,F
MOD16A2,PET_500m,A2022361,2022-12-27,13.0,15.6,1242.6002,2.6,14.7929,0.2916,0.54,289,84,29.07,2023014090944,F
MOD16A2,PET_500m,A2023001,2023-01-01,17.5,21.2,713.6999,3.7,19.2892,1.4415,1.2006,289,37,12.8,2023026195523,F
MOD16A2,PET_500m,A2023009,2023-01-09,19.2,23.3,1975.7002,4.1,21.0181,0.8919,0.9444,289,94,32.53,2023026235041,F
MOD16A2,PET_500m,A2023017,2023-01-17,21.6,25.7,1739.5002,4.1,23.5068,0.976,0.9879,289,74,25.61,2023032233650,F
MOD16A2,PET_500m,A2023025,2023-01-25,18.3,21.5,2240.1001,3.2,20.0009,0.7938,0.891,289,112,38.75,2023040232721,F
MOD16A2,PET_500m,A2023033,2023-02-02,15.8,18.9,2262.2996,3.1,17.4023,0.5902,0.7683,289,130,44.98,2023056105516,F
MOD16A2,PET_500m,A2023041,2023-02-10,16.9,21.3,1331.4,4.4,19.5794,1.3399,1.1575,289,68,23.53,2023057154327,20.8
MOD16A2,PET_500m,A2023049,2023-02-18,20.5,24.6,4387.3999,4.1,22.6155,0.7532,0.8678,289,194,67.13,2023070090414,24
MOD16A2,PET_500m,A2023057,2023-02-26,27.4,30.8,6831.4004,3.4,29.3193,0.4971,0.705,289,233,80.62,2023073004140,F
MOD16A2,PET_500m,A2023065,2023-03-06,35.8,41.4,3328.9995,5.6,38.2644,1.9014,1.3789,289,87,30.1,2023081000346,F
MOD16A2,PET_500m,A2023073,2023-03-14,35.8,39.0,8842.3984,3.2,37.3097,0.4647,0.6817,289,237,82.01,2023088235125,38.1
MOD16A2,PET_500m,A2023081,2023-03-22,41.5,45.8,10188.2041,4.3,42.6285,0.423,0.6504,289,239,82.7,2023098021454,42.6
MOD16A2,PET_500m,A2023089,2023-03-30,43.9,48.3,12070.7969,4.4,45.3789,0.415,0.6442,289,266,92.04,2023105040424,45.8
MOD16A2,PET_500m,A2023097,2023-04-07,46.7,51.7,12744.6006,5.0,48.4586,0.4547,0.6743,289,263,91.0,2023115165521,48.8
MOD16A2,PET_500m,A2023105,2023-04-15,46.4,51.6,12820.4033,5.2,48.0165,0.6158,0.7848,289,267,92.39,2023121000330,47.7
MOD16A2,PET_500m,A2023113,2023-04-23,50.5,56.1,13878.1064,5.6,52.5686,0.5225,0.7228,289,264,91.35,2023129095353,52.6
MOD16A2,PET_500m,A2023121,2023-05-01,53.4,58.2,14460.0967,4.8,55.8305,0.8565,0.9255,289,259,89.62,2023142233340,55.4
MOD16A2,PET_500m,A2023129,2023-05-09,55.3,61.5,10466.501,6.2,58.8006,1.2114,1.1006,289,178,61.59,2023144234451,F
MOD16A2,PET_500m,A2023137,2023-05-17,42.5,46.6,11699.8008,4.1,44.9992,0.7108,0.8431,289,260,89.97,2023153170038,45.9
MOD16A2,PET_500m,A2023145,2023-05-25,38.4,41.9,6532.9038,3.5,40.577,0.5419,0.7361,289,161,55.71,2023163213902,41.4
MOD16A2,PET_500m,A2023153,2023-06-02,47.0,50.0,8194.0996,3.0,48.7744,0.3688,0.6073,289,168,58.13,2023168234433,49.2
MOD16A2,PET_500m,A2023161,2023-06-10,57.3,62.9,15886.5986,5.6,59.5004,1.1967,1.094,289,267,92.39,2023177002730,59.2
MOD16A2,PET_500m,A2023169,2023-06-18,53.2,63.0,14962.6963,9.8,56.0401,2.1715,1.4736,289,267,92.39,2023191141432,54.5
MOD16A2,PET_500m,A2023177,2023-06-26,55.7,67.9,15594.7031,12.2,58.6267,3.6215,1.903,289,266,92.04,2023199234420,58
MOD16A2,PET_500m,A2023185,2023-07-04,56.3,66.6,15097.8955,10.3,59.2074,3.4995,1.8707,289,255,88.24,2023213160206,58.6
MOD16A2,PET_500m,A2023193,2023-07-12,57.1,65.8,15689.2021,8.7,59.4288,3.7785,1.9438,289,264,91.35,2023215165429,59.3
MOD16A2,PET_500m,A2023201,2023-07-20,54.5,66.4,13621.2002,11.9,57.4734,5.4207,2.3282,289,237,82.01,2023217002659,55.8
MOD16A2,PET_500m,A2023209,2023-07-28,56.4,69.7,10229.9971,13.3,59.8245,6.753,2.5986,289,171,59.17,2023226163055,58.2
MOD16A2,PET_500m,A2023217,2023-08-05,52.0,62.1,14270.999,10.1,54.6782,4.399,2.0974,289,261,90.31,2023235035644,53.8
MOD16A2,PET_500m,A2023225,2023-08-13,48.4,58.9,13736.6006,10.5,51.6414,3.7065,1.9252,289,266,92.04,2023240235236,51
MOD16A2,PET_500m,A2023233,2023-08-21,48.0,67.2,13926.2002,19.2,52.3541,6.8148,2.6105,289,266,92.04,2023251184457,52.6
MOD16A2,PET_500m,A2023241,2023-08-29,34.2,45.0,9727.4971,10.8,37.1278,2.8594,1.691,289,262,90.66,2023257002125,36.4
MOD16A2,PET_500m,A2023249,2023-09-06,37.0,46.7,9444.3008,9.7,39.3513,2.2612,1.5037,289,240,83.04,2023264235421,39.1
MOD16A2,PET_500m,A2023257,2023-09-14,29.0,38.8,8401.7988,9.8,31.4674,1.9013,1.3789,289,267,92.39,2023273000745,31.3
MOD16A2,PET_500m,A2023265,2023-09-22,35.3,46.4,10472.0986,11.1,39.2213,2.5085,1.5838,289,267,92.39,2023283164003,39.2
MOD16A2,PET_500m,A2023273,2023-09-30,37.1,46.2,10769.9014,9.1,40.3367,1.5309,1.2373,289,267,92.39,2023289001439,40.8
MOD16A2,PET_500m,A2023281,2023-10-08,28.5,37.7,8739.1973,9.2,32.7311,1.6854,1.2982,289,267,92.39,2023298214319,31.7
MOD16A2,PET_500m,A2023289,2023-10-16,27.5,34.6,7369.4028,7.1,30.5784,1.3305,1.1535,289,241,83.39,2023305024129,31.2
MOD16A2,PET_500m,A2023297,2023-10-24,25.7,32.0,5463.4019,6.3,28.3078,2.1359,1.4615,289,193,66.78,2023313010629,27.7
MOD16A2,PET_500m,A2023305,2023-11-01,23.7,30.6,3120.0007,6.9,27.6106,3.5112,1.8738,289,113,39.1,2023320225150,27.5
MOD16A2,PET_500m,A2023313,2023-11-09,25.6,32.3,3967.8999,6.7,27.943,4.3632,2.0888,289,142,49.13,2023331135447,31.1
MOD16A2,PET_500m,A2023321,2023-11-17,24.2,29.7,3373.0996,5.5,26.9848,2.5104,1.5844,289,125,43.25,2023340004208,27.5
MOD16A2,PET_500m,A2023329,2023-11-25,19.7,23.6,1442.6002,3.9,21.5313,1.1795,1.086,289,67,23.18,2023344223401,F
MOD16A2,PET_500m,A2023337,2023-12-03,18.6,22.7,1132.0,4.1,20.5818,1.1655,1.0796,289,55,19.03,2024003101952,F
MOD16A2,PET_500m,A2023345,2023-12-11,18.8,22.4,1796.7003,3.6,21.1377,0.7254,0.8517,289,85,29.41,2024005152554,F
MOD16A2,PET_500m,A2023353,2023-12-19,22.5,27.3,1557.9999,4.8,25.541,1.6175,1.2718,289,61,21.11,2024006001522,F
MOD16A2,PET_500m,A2023361,2023-12-27,13.0,15.9,1519.2997,2.9,14.8951,0.3775,0.6144,289,102,35.29,2024009052422,F
MOD16A2,PET_500m,A2024001,2024-01-01,17.6,21.3,1727.8997,3.7,19.6352,0.9023,0.9499,289,88,30.45,2024018231246,F
MOD16A2,PET_500m,A2024009,2024-01-09,19.3,22.1,970.9999,2.8,20.6596,0.3875,0.6225,289,47,16.26,2024027091505,F
MOD16A2,PET_500m,A2024017,2024-01-17,19.9,23.9,1336.9001,4.0,22.2817,0.9292,0.9639,289,60,20.76,2024034035525,F
MOD16A2,PET_500m,A2024025,2024-01-25,21.9,24.5,2182.0005,2.6,23.4624,0.3587,0.5989,289,93,32.18,2024041004308,F
MOD16A2,PET_500m,A2024033,2024-02-02,23.8,27.4,1318.1001,3.6,25.3481,1.0794,1.039,289,52,17.99,2024049004524,F
MOD16A2,PET_500m,A2024041,2024-02-10,22.3,24.6,2336.9001,2.3,23.6051,0.2799,0.529,289,99,34.26,2024061020628,F
MOD16A2,PET_500m,A2024049,2024-02-18,28.5,32.9,6612.1025,4.4,30.6116,0.8703,0.9329,289,216,74.74,2024066061401,31.9
MOD16A2,PET_500m,A2024057,2024-02-26,29.9,34.5,8005.5991,4.6,32.2806,0.86,0.9274,289,248,85.81,2024073143945,33.6
MOD16A2,PET_500m,A2024065,2024-03-05,33.3,36.5,8756.3008,3.2,34.7472,0.5381,0.7336,289,252,87.2,2024088220047,35.7
MOD16A2,PET_500m,A2024073,2024-03-13,37.7,41.4,8564.001,3.7,39.4654,0.5554,0.7453,289,217,75.09,2024099145452,40.6
MOD16A2,PET_500m,A2024081,2024-03-21,29.8,32.7,4827.4004,2.9,31.1445,0.4982,0.7058,289,155,53.63,2024099165336,31.6
MOD16A2,PET_500m,A2024089,2024-03-29,36.5,43.1,9948.3994,6.6,38.5597,1.043,1.0213,289,258,89.27,2024104234634,39.2
MOD16A2,PET_500m,A2024097,2024-04-06,46.4,50.2,12880.501,3.8,48.2416,0.534,0.7307,289,267,92.39,2024116113815,48.8
MOD16A2,PET_500m,A2024105,2024-04-14,50.6,54.7,13910.8027,4.1,52.2962,0.4721,0.6871,289,266,92.04,2024121000922,53
MOD16A2,PET_500m,A2024113,2024-04-22,40.7,43.7,10606.0986,3.0,42.2554,0.3443,0.5868,289,251,86.85,2024130224345,42.3
MOD16A2,PET_500m,A2024121,2024-04-30,54.4,60.0,14018.7051,5.6,56.9866,1.2577,1.1215,289,246,85.12,2024137003424,58.4
MOD16A2,PET_500m,A2024129,2024-05-08,55.6,60.7,15709.2041,5.1,58.836,1.2598,1.1224,289,267,92.39,2024153211713,60
MOD16A2,PET_500m,A2024137,2024-05-16,54.4,58.8,12944.999,4.4,57.0264,0.6101,0.7811,289,227,78.55,2024156055759,57.9
MOD16A2,PET_500m,A2024145,2024-05-24,59.8,63.5,15027.1025,3.7,61.3351,0.6299,0.7936,289,245,84.78,2024161202730,61.6
MOD16A2,PET_500m,A2024153,2024-06-01,59.6,63.8,15207.0,4.2,61.8171,0.7255,0.8518,289,246,85.12,2024169001523,62.2
MOD16A2,PET_500m,A2024161,2024-06-09,52.3,60.4,14866.6973,8.1,55.6805,3.1427,1.7728,289,267,92.39,2024180043403,55.6
MOD16A2,PET_500m,A2024169,2024-06-17,56.6,66.5,15629.502,9.9,59.2027,3.2053,1.7903,289,264,91.35,2024185001212,57.6
MOD16A2,PET_500m,A2024177,2024-06-25,51.5,62.4,14471.9043,10.9,54.611,3.4558,1.859,289,265,91.7,2024195015749,54.1
MOD16A2,PET_500m,A2024185,2024-07-03,56.8,68.3,15774.6992,11.5,59.5272,3.1902,1.7861,289,265,91.7,2024201000911,59.5
MOD16A2,PET_500m,A2024193,2024-07-11,55.9,69.2,15757.3018,13.3,59.6867,4.7945,2.1896,289,264,91.35,2024210211239,58.9
MOD16A2,PET_500m,A2024201,2024-07-19,56.0,74.1,15294.8975,18.1,59.5132,7.2015,2.6836,289,257,88.93,2024221193642,60.4
MOD16A2,PET_500m,A2024209,2024-07-27,52.7,68.4,7522.1006,15.7,56.5571,9.4412,3.0727,289,133,46.02,2024227231218,F
MOD16A2,PET_500m,A2024217,2024-08-04,51.1,65.4,14223.6963,14.3,54.4969,6.8286,2.6132,289,261,90.31,2024234164857,53.1
MOD16A2,PET_500m,A2024225,2024-08-12,47.7,64.7,13011.502,17.0,50.2375,7.1267,2.6696,289,259,89.62,2024241163320,50
MOD16A2,PET_500m,A2024233,2024-08-20,42.4,53.7,11513.0,11.3,44.4517,2.7954,1.6719,289,259,89.62,2024249201422,43.6
MOD16A2,PET_500m,A2024241,2024-08-28,35.2,42.8,8723.2051,7.6,37.12,1.2882,1.135,289,235,81.31,2024258040021,36.1
MOD16A2,PET_500m,A2024249,2024-09-05,40.5,54.9,11652.7021,14.4,44.476,3.9921,1.998,289,262,90.66,2024267183110,44.7
MOD16A2,PET_500m,A2024257,2024-09-13,31.9,44.1,9200.8984,12.2,34.5898,3.1673,1.7797,289,266,92.04,2024275134605,34.5
MOD16A2,PET_500m,A2024265,2024-09-21,31.0,43.9,9604.7998,12.9,36.5202,2.7583,1.6608,289,263,91.0,2024284070038,36.3
MOD16A2,PET_500m,A2024273,2024-09-29,37.3,48.6,11142.4023,11.3,41.7318,3.0326,1.7414,289,267,92.39,2024289184325,41.8
MOD16A2,PET_500m,A2024281,2024-10-07,28.7,38.4,8052.2002,9.7,33.5508,3.4057,1.8454,289,240,83.04,2024297211034,32.7
MOD16A2,PET_500m,A2024289,2024-10-15,26.5,33.2,6703.1011,6.7,29.7916,1.5583,1.2483,289,225,77.85,2024305060121,31.3
MOD16A2,PET_500m,A2024297,2024-10-23,15.8,19.6,1568.4003,3.8,17.8227,0.7538,0.8682,289,88,30.45,2024312233426,F
MOD16A2,PET_500m,A2024305,2024-10-31,13.0,15.5,1011.4998,2.5,14.6594,0.2418,0.4918,289,69,23.88,2024325210832,F
MOD16A2,PET_500m,A2024313,2024-11-08,16.3,20.3,310.6,4.0,18.2706,1.148,1.0714,289,17,5.88,2024328225402,F
MOD16A2,PET_500m,A2024321,2024-11-16,21.4,24.7,1046.8999,3.3,23.7932,1.102,1.0498,289,44,15.22,2024337200331,F
MOD16A2,PET_500m,A2024329,2024-11-24,18.5,22.5,1020.6,4.0,21.2625,0.9607,0.9801,289,48,16.61,2024344223107,F
MOD16A2,PET_500m,A2024337,2024-12-02,22.2,25.6,594.8,3.4,23.792,0.7679,0.8763,289,25,8.65,2024352223409,F
MOD16A2,PET_500m,A2024345,2024-12-10,16.8,20.7,1792.2994,3.9,18.8663,0.8395,0.9162,289,95,32.87,2024365214557,F
MOD16A2,PET_500m,A2024353,2024-12-18,21.2,24.7,2703.6997,3.5,23.3078,0.4257,0.6525,289,116,40.14,2025003012550,F
MOD16A2,PET_500m,A2024361,2024-12-26,10.5,12.8,1140.8999,2.3,11.409,0.254,0.504,289,100,34.6,2025009013144,F
MOD16A2,PET_500m,A2025001,2025-01-01,17.2,20.3,615.6,3.1,18.6545,0.5843,0.7644,289,33,11.42,2025017032624,F
